1,Hatchback,Peugeot,308,GT Line,France,16,1598,165,4253,2043,1457,,5,43,FWD,Petrol,AG Motors Ltd.,,,,,,,,
104,SUV,Mitsubishi,Outlander,7 Seater,Thailand,,1998,143,4695,1810,1710,190,7,52,4WD,Petrol,Rangs Limited,,,,,,,,
105,SUV,Mitsubishi,Pajero,Sport,Bangladesh,,2477,134,4785,1815,1805,218,7,100,4WD,Diesel,Pragoti Industries Ltd.,,,,,,,,
106,SUV,Mitsubishi,Pajero,GLS,Japan,,2972,181,4900,1875,1900,235,7,118,4WD,,Rangs Limited,,,,,,,,
107,Pick Up,Mitsubishi,L200,4WD Double Cabin,Thailand,,2477,118,5200,1815,1780,210,5,48,4WD,Diesel,Rangs Limited,,,,,,,,
108,Pick Up,Mitsubishi,L200,2WD Double Cabin,Thailand,,,,5200,1785,1655,200,5,,2WD,Diesel,Rangs Limited,,,,,,,,
109,Pick Up,Mitsubishi,L200,4WD Single Cabin,Thailand,,,,5075,1785,1780,200,3,26,4WD,Diesel,Rangs Limited,,,,,,,,
110,Pick Up,Mitsubishi,L200,2WD Single Cabin,Thailand,,,,5075,1785,1655,200,3,,2WD,Diesel,Rangs Limited,,,,,,,,
111,Sedan,Nissan,Almera,1.5L,,,1498,,4455,1695,1515,,5,,FWD,Petrol,Pacific Motors Ltd.,,,,,,,,
112,Sedan,Nissan,Sylphy,1.6L,,,1598,114,4610,1760,1495,,5,,FWD,Petrol,Pacific Motors Ltd.,,,,,,,,
113,Sedan,Nissan,Teana,2.0L,,,1997,139,4868,1830,1483,,5,,FWD,Petrol,Pacific Motors Ltd.,,,,,,,,
114,SUV,Nissan,X-Trail,2.0L,,,1997,142,4640,1820,1710,,7,,4WD,Petrol,Pacific Motors Ltd.,,,,,,,,
115,SUV,Nissan,Patrol,5.6L,,,5552,394,5140,1995,1940,,7,,4WD,Petrol,Pacific Motors Ltd.,,,,,,,,
116,Microbus,Nissan,Urvan,12/15 Seater,,,2488,145,4695,1695,1990,,15,,,Petrol,Pacific Motors Ltd.,,,,,,,,
117,Microbus,Nissan,Urvan,16 Seater,,,2488,145,5230,1880,2285,,16,,,Petrol,Pacific Motors Ltd.,,,,,,,,
118,Pick Up,Nissan,Navara,NP 300,Thailand,,2488,160,5255,1850,1810,228,3,47.5,4WD,Diesel,Pacific Motors Ltd.,,,,,,,,
119,Hatchback,Hyundai,EON,0.8 MPi Speed Manual,,21,814,55,3495,1550,1500,,5,,,Petrol,HMBL,,,,,,,,
120,Hatchback,Hyundai,Grand i10,1.2 MPi 4-Speed,,,1197,82,3765,1660,1520,,5,,,Petrol,HMBL,,,,,,,,
121,Sedan,Hyundai,XCENT,Dual VTVT 4-speed,,,1197,82,3995,1660,1520,,5,,,Petrol,HMBL,,,,,,,,
122,Sedan,Hyundai,Accent,1.4 MPi,,,1368,99,4370,1700,1457,,5,,,Petrol,HMBL,,,,,,,,
123,Sedan,Hyundai,Elantra,1.6 MPi 6 Speed,,,1591,126,4570,1800,1450,,5,,,Petrol,HMBL,,,,,,,,
124,Sedan,Hyundai,Sonata,2.0 MPi 6 Speed,,,1999,155,4855,1865,1475,,5,,FWD,Petrol,HMBL,,,,,,,,
125,Sedan,Hyundai,Sonata,2.4 MPi 6 Speed,,,2359,176,4855,1865,1475,,5,,FWD,Petrol,HMBL,,,,,,,,
126,SUV,Hyundai,Tucson,2.0 MPi 6 Speed,,,1999,155,4475,1850,1660,,5,45,4WD,Petrol,HMBL,,,,,,,,
127,SUV,Hyundai,Santa Fe,2.4L MPi 6 Speed,,,2359,169,4700,1880,1690,,7,,4WD,Petrol,HMBL,,,,,,,,
128,Microbus,Hyundai,H-1,2.4 MPi 4-Speed,,,2359,172,5150,1920,1925,,12,,RWD,Petrol,HMBL,,,,,,,,
129,Microbus,Hyundai,H-1,2.5 CRDi 5-Speed,,,2497,171,5150,1920,1925,,12,,RWD,Diesel,HMBL,,,,,,,,
130,Pick Up,Isuzu,D-Max,Double Cabin,Thailand,,2499,134,5295,1860,1715,225,5,47,4WD,Diesel,Uttara Motors Ltd.,,,,,,,,
131,SUV,SsanYong,Tivoli,1.6L,South Korea,7.5,1597,126,4440,1798,1605,167,5,34,,Petrol,Millennium Ssangyong Motors Ltd.,,,,,,,,
132,SUV,SsanYong,Korando,2.0L,South Korea,,1998,147,4410,1830,1710,180,5,,AWD,Petrol,Millennium Ssangyong Motors Ltd.,,,,,,,,
133,SUV,SsanYong,Rexton W,Diesel 2.0,South Korea,,1998,153,4755,1900,1840,250,7,,4WD,Diesel,Millennium Ssangyong Motors Ltd.,,,,,,,,
134,SUV,SsanYong,Rexton W,Diesel 2.7,South Korea,,2696,163,4755,1900,1840,247,7,,4WD,Diesel,Millennium Ssangyong Motors Ltd.,,,,,,,,
135,SUV,SsanYong,Stavic,SV320 (Petrol),South Korea,,3199,217,5130,1915,1850,200,7,,2WD,Petrol,Millennium Ssangyong Motors Ltd.,,,,,,,,
136,SUV,SsanYong,Stavic,SV200 (Diesel),South Korea,,1998,153,5130,1915,1850,200,7,,2WD,Diesel,Millennium Ssangyong Motors Ltd.,,,,,,,,
137,Pick Up,SsanYong,Actyon Sports,2.0L Part Time 4WD,South Korea,,1998,153,4990,1910,1790,212,5,44,4WD,Diesel,Millennium Ssangyong Motors Ltd.,,,,,,,,
138,Sedan,Proton,Saga,Standard CVT,Bangladesh,18,1332,94,4331,1689,1491,,5,18.5,FWD,Petrol,PHP Automobiles Ltd.,,,,,,,,
139,Sedan,Proton,Preve,Executive CVT,Bangladesh,16,1597,107,4534,1786,1524,,5,25.5,FWD,Petrol,PHP Automobiles Ltd.,,,,,,,,
140,MPV,Proton,Exora,Executive CVT,,14,1561,138,4592,1809,1691,,7,,FWD,Petrol,PHP Automobiles Ltd.,,,,,,,,
141,Sedan,Tata,Tiago,Revotron 1.2L,,,1199,84,3746,1647,1535,170,5,,,Petrol,Nitol Motors Pvt. Ltd.,,,,,,,,
142,Sedan,Tata,GENX,Manual (XT),,,624,37,3164,1750,1652,180,4,,,Petrol,Nitol Motors Pvt. Ltd.,,,,,,,,
143,Sedan,Tata,GENX,Automatik (XTA),,,624,37,3164,1750,1652,180,4,,,Petrol,Nitol Motors Pvt. Ltd.,,,,,,,,
144,Sedan,Tata,Indigo,eCS,,,1405,69,3988,1620,1540,165,5,,,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
145,Pick Up,Tata,Xenon,4x2 2.2L 148 SC,,,2179,148,4800,1860,1765,210,2,,2WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
146,Pick Up,Tata,Xenon,4x4 2.2L 148 SC,,,2179,148,4800,1860,1765,210,2,,4WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
147,Pick Up,Tata,Xenon,4x2 2.2L 140 SC,,,2179,140,4800,1860,1765,200,2,,2WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
148,Pick Up,Tata,Xenon,4x4 2.2L 140 SC,,,2179,140,4800,1860,1765,200,2,,4WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
149,Pick Up,Tata,Xenon,4x2 3.0L SC,,,2956,111,4800,1860,1765,210,2,,2WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
150,Pick Up,Tata,Xenon,4x4 3.0L SC,,,2956,111,4800,1860,1765,210,2,,4WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
151,Pick Up,Tata,Xenon,4x2 2.2L 148 DC,,,2179,148,5125,1860,1765,210,5,,2WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
152,Pick Up,Tata,Xenon,4x4 2.2L 148 DC,,,2179,148,5125,1860,1765,210,5,,4WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
153,Pick Up,Tata,Xenon,4x2 2.2L 140 DC,,,2179,140,5125,1860,1765,200,5,,2WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
154,Pick Up,Tata,Xenon,4x4 2.2L 140 DC,,,2179,140,5125,1860,1765,200,5,,4WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
155,Pick Up,Tata,Xenon,4x2 3.0L DC,,,2956,111,5125,1860,1765,210,5,,2WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
156,Pick Up,Tata,Xenon,4x4 3.0L DC,,,2956,111,5125,1860,1765,210,5,,4WD,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
157,Pick Up,Tata,207 DI,207 DI EX,,,2956,70,5182,1860,1785,210,2,,,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
158,Pick Up,Tata,207 DI,207 DI RX,,,2956,65,5182,1860,1790,210,2,,,Diesel,Nitol Motors Pvt. Ltd.,,,,,,,,
159,SUV,Renault,Kwid,1.0L,India,,999,67,3679,1579,1478,180,5,12.5,2WD,Petrol,Karnaphuli Wheels Ltd.,,,,,,,,
160,SUV,Renault,Duster,1.5 H4K CVT,India,,1498,104,4315,1822,1695,205,5,33,2WD,Petrol,Karnaphuli Wheels Ltd.,,,,,,,,
161,SUV,Renault,Duster,1.5 dCi 85 PS,India,,1461,84,4315,1822,1695,205,5,34,2WD,Diesel,Karnaphuli Wheels Ltd.,,,,,,,,
162,SUV,Renault,Duster,1.5 dCi 110 PS,India,,1461,108,4315,1822,1695,205,5,,2WD,Diesel,Karnaphuli Wheels Ltd.,,,,,,,,
163,SUV,Renault,Duster,1.5 dCi 110 PS AWD,India,,1461,108,4315,1822,1695,210,5,,AWD,Diesel,Karnaphuli Wheels Ltd.,,,,,,,,
164,SUV,Mahindra,Scorpio SUV,2.2L,Bangladesh,,2179,118,,,,,7,46,4WD,Diesel,Pragoti Industries Ltd.,,,,,,,,
165,Pick Up,Mahindra,Scorpio Pick Up,2.2L,Bangladesh,,2179,118,,,,,5,30.5,4WD,Diesel,Pragoti Industries Ltd.,,,,,,,,
166,Pick Up,Mahindra,Camper Gold,Double Cabin,India,,2523,,,,,,,23.75,,Diesel,Rancon Motors Ltd.,,,,,,,,
167,SUV,Mahindra,TUV 300,T4+ MT,India,,1500,,3995,1835,1817,,7,22.5,FWD,Diesel,Rancon Autos Ltd.,,,,,,,,
168,SUV,Mahindra,TUV 300,T8 AMT,India,,1500,,3995,1835,1817,,7,26.5,FWD,Diesel,Rancon Autos Ltd.,,,,,,,,
169,SUV,Mahindra,Bolero,Power+ SLX,India,,1493,70,,,,,7,20.5,FWD,Diesel,Rancon Autos Ltd.,,,,,,,,
170,SUV,Mahindra,NuvoSport,N6,India,,1500,,,,,,7,25.75,FWD,Diesel,Rancon Autos Ltd.,,,,,,,,
171,SUV,Haval,H2,Premium 2WD,China,,1497,147,4335,1814,1695,133,5,,2WD,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
172,SUV,Haval,H2,Luxury 2WD,China,,1497,147,4335,1814,1695,133,5,,2WD,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
173,SUV,Haval,H2,Premium 4WD,China,,1497,147,4335,1814,1695,133,5,,4WD,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
174,SUV,Haval,H2,Luxury 4WD,China,,1497,147,4335,1814,1695,133,5,,4WD,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
175,SUV,Haval,H6,Premium,China,,2000,194,4549,1835,1700,,5,,,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
176,SUV,Haval,H6,Luxury,China,,2000,194,4549,1835,1700,,5,,,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
177,SUV,Haval,H9,Premium,China,,2000,241,4856,1926,1900,206,7,52,4WD,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
178,SUV,Haval,H9,Luxury,China,,2000,241,4856,1926,1900,206,7,58,4WD,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
179,Pick Up,Greatwall,Wingle 6,Luxury 2WD 4G69,China,,2378,120,5345,1800,1760,160,5,,2WD,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
180,Pick Up,Greatwall,Wingle 6,Dignity 2WD 4G69,China,,2378,120,5345,1800,1760,160,5,,2WD,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
181,Pick Up,Greatwall,Wingle 6,Luxury 4WD 4G69,China,,2378,120,5345,1800,1760,160,5,,4WD,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
182,Pick Up,Greatwall,Wingle 6,Dignity 4WD 4G69,China,,2378,120,5345,1800,1760,160,5,,4WD,Petrol,Ace Autos Pvt. Ltd.,,,,,,,,
183,Pick Up,Greatwall,Wingle 6,Luxury 2WD 4D20,China,,1996,141,5345,1800,1760,160,5,,2WD,Diesel,Ace Autos Pvt. Ltd.,,,,,,,,
184,Pick Up,Greatwall,Wingle 6,Dignity 2WD 4D20,China,,1996,141,5345,1800,1760,160,5,,2WD,Diesel,Ace Autos Pvt. Ltd.,,,,,,,,
185,Pick Up,Greatwall,Wingle 6,Luxury 4WD 4D20,China,,1996,141,5345,1800,1760,160,5,,4WD,Diesel,Ace Autos Pvt. Ltd.,,,,,,,,
186,Pick Up,Greatwall,Wingle 6,Dignity 4WD 4D20,China,,1996,141,5345,1800,1760,160,5,,4WD,Diesel,Ace Autos Pvt. Ltd.,,,,,,,,
187,Hatchback,Suzuki,Alto,800 Lxi,India,,796,47,3495,1475,1460,,5,8.7,,Petrol,Uttara Motors Ltd.,,,,,,,,
188,Hatchback,Suzuki,Alto,K-10,India,,998,67,3545,1490,1475,160,5,11.5,,Petrol,Uttara Motors Ltd.,,,,,,,,
189,Hatchback,Suzuki,WagonR,1.0L,India,,998,68,3599,1495,1700,,5,12.75,,Petrol,Uttara Motors Ltd.,,,,,,,,
190,Hatchback,Suzuki,Swift,1.2L,India,,1197,85,3850,1695,1530,170,5,,,Petrol,Uttara Motors Ltd.,,,,,,,,
191,Sedan,Suzuki,Swift,Dzire,India,,1197,85,3995,1695,1555,170,5,,,Petrol,Uttara Motors Ltd.,,,,,,,,
192,Sedan,Suzuki,Ciaz,1.4L,India,,1373,91,4490,1730,1485,170,5,,,Petrol,Uttara Motors Ltd.,,,,,,,,
193,MPV,Suzuki,Ertiga,1.4L,India,,1373,91,4265,1695,1685,185,7,,,Petrol,Uttara Motors Ltd.,,,,,,,,
194,SUV,Suzuki,Grand Vitara,2.0L,,,1995,138,4470,1810,1695,200,5,,,Petrol,Uttara Motors Ltd.,,,,,,,,
195,Microbus,Suzuki,Omni,0.8L,,,796,35,3370,1410,1640,165,,,,,Uttara Motors Ltd.,,,,,,,,
196,Microbus,Suzuki,APV,1.6L,,,1590,,4230,1655,1865,,8,,,Petrol,Uttara Motors Ltd.,,,,,,,,
197,Sedan,Kia,Optima,2.0L,South Korea,,2000,157,,,,,,,,,,,,,,,,,
198,SUV,Kia,Sportage,Compact SUV,South Korea,,,,,,,,,,,,,,,,,,,,